abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
crack	a sudden sharp noise; "the crack of a whip"; "he heard the cracking of the ice"; "he can hear the snap of a twig"
crack	a chance to do something; "he wanted a shot at the champion"
crack	witty remark
crack	a blemish resulting from a break without complete separation of the parts; "there was a crack in the mirror"
crack	a purified and potent form of cocaine that is smoked rather than snorted; highly addictive
crack	a usually brief attempt; "he took a crack at it"; "I gave it a whirl"
crack	the act of cracking something
craft	the skilled practice of a practical occupation; "he learned his trade as an apprentice"
craft	a vehicle designed for navigation in or on water or air or through outer space
craft	people who perform a particular kind of skilled work; "he represented the craft of brewers"; "as they say in the trade"
craft	skill in an occupation or trade
craft	shrewdness as demonstrated by being skilled in deception
crawl	a very slow movement; "the traffic advanced at a crawl"
crawl	a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick
crawl	a slow mode of locomotion on hands and knees or dragging the body; "a crawl was all that the injured man could manage"; "the traffic moved at a creep"
creativity	the ability to create
Creator	terms referring to the Judeo-Christian God
creator	a person who grows or makes or invents things
credibility	the quality of being believable or trustworthy
credible	capable of being believed; "completely credible testimony"; "credible information"
credible	(a common but incorrect usage where `credulous' would be appropriate) credulous; "she was not the...credible fool he expected"
credible	appearing to merit belief or acceptance; "a credible witness"
creep	someone unpleasantly strange or eccentric
creep	a slow longitudinal movement or deformation
creep	a pen that is fenced so that young animals can enter but adults cannot
creep	a slow mode of locomotion on hands and knees or dragging the body; "a crawl was all that the injured man could manage"; "the traffic moved at a creep"
critically	in a critical manner; "this must be examined critically"
critique	an essay or article that gives a critical evaluation (as of a book or play)
critique	a serious examination and judgment of something; "constructive criticism is always appreciated"
Crown	the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy; "the colonies revolted against the Crown"
crown	the part of a tooth above the gum that is covered with enamel
crown	a wreath or garland worn on the head to signify victory
crown	an ornamental jeweled headdress signifying sovereignty
crown	the part of a hat (the vertex) that covers the crown of the head
crown	an English coin worth 5 shillings
crown	the upper branches and leaves of a tree or other plant
crown	the top or extreme point of something (usually a mountain or hill); "the view from the peak was magnificent"; "they clambered to the tip of Monadnock"; "the region is a few molecules wide at the summit"
crown	the award given to the champion
crown	the top of the head
crown	(dentistry) dental appliance consisting of an artificial crown for a broken or decayed tooth; "tomorrow my dentist will fit me for a crown"
crown	the center of a cambered road
crude	a dark oil consisting mainly of hydrocarbons
cruise	an ocean trip taken for pleasure
crush	leather that has had its grain pattern accentuated
crush	a dense crowd of people
crush	temporary love of an adolescent
crush	the act of crushing
crystal	a solid formed by the solidification of a chemical and having a highly regular atomic structure
crystal	a crystalline element used as a component in various electronic devices
crystal	a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces
crystal	colorless glass made of almost pure silica
crystal	glassware made of quartz
crystal	a protective cover that protects the face of a watch
cue	an actor's line that immediately precedes and serves as a reminder for some action or speech
cue	evidence that helps to solve a problem
cue	a stimulus that provides information about what to do
cue	sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards
cult	followers of an exclusive system of beliefs and practices
cult	an interest followed with exaggerated zeal; "he always follows the latest fads"; "it was all the rage that season"
cult	followers of an unorthodox, extremist, or false religion or sect who often live outside of conventional society under the direction of a charismatic leader
cult	a religion or sect that is generally considered to be unorthodox, extremist, or false; "it was a satanic cult"
cult	a system of religious beliefs and rituals; "devoted to the cultus of the Blessed Virgin"
cultivate	foster the growth of
cultivate	prepare for crops; "Work the soil"; "cultivate the land"
cultivate	teach or refine to be discriminative in taste or judgment; "Cultivate your musical taste"; "Train your tastebuds"; "She is well schooled in poetry"
cultivate	adapt (a wild plant or unclaimed land) to the environment; "domesticate oats"; "tame the soil"
curiosity	a state in which you want to learn more about something
curiosity	something unusual -- perhaps worthy of collecting
curious	beyond or deviating from the usual or expected; "a curious hybrid accent"; "her speech has a funny twang"; "they have some funny ideas about war"; "had an odd name"; "the peculiar aromatic odor of cloves"; "something definitely queer about this town"; "what a rum fellow"; "singular behavior"
curious	eager to investigate and learn or learn more (sometimes about others' concerns); "a curious child is a teacher's delight"; "a trap door that made me curious"; "curious investigators"; "traffic was slowed by curious rubberneckers"; "curious about the neighbor's doings"
curriculum	an integrated course of academic studies; "he was admitted to a new program at the university"
custody	a state of being confined (usually for a short time); "his detention was politically motivated"; "the prisoner is on hold"; "he is in the custody of police"
custody	holding by the police; "the suspect is in custody"
custody	(with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child; "my fate is in your hands"; "too much power in the president's hands"; "your guests are now in my custody"; "the mother was awarded custody of the children"
cute	attractive especially by means of smallness or prettiness or quaintness; "a cute kid with pigtails"; "a cute little apartment"; "cunning kittens"; "a cunning baby"
cute	obviously contrived to charm; "an insufferably precious performance"; "a child with intolerably cute mannerisms"
cutting	the activity of selecting the scenes to be shown and putting them together to create a film
cutting	a part (sometimes a root or leaf or bud) removed from a plant to propagate a new plant through rooting or grafting
cutting	the act of cutting something into parts; "his cuts were skillful"; "his cutting of the cake made a terrible mess"
cutting	a piece cut off from the main part of something
cutting	an excerpt cut from a newspaper or magazine; "he searched through piles of letters and clippings"
cutting	removing parts from hard material to create a desired pattern or shape
cutting	the division of a deck of cards before dealing; "he insisted that we give him the last cut before every deal"; "the cutting of the cards soon became a ritual"
cutting	the act of penetrating or opening open with a sharp edge; "his cut in the lining revealed the hidden jewels"
cutting	the act of diluting something; "the cutting of whiskey with water"; "the thinning of paint with turpentine"
cutting	the act of shortening something by chopping off the ends; "the barber gave him a good cut"
cynical	believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
dairy	a farm where dairy products are produced
dam	a barrier constructed to contain the flow of water or to keep out the sea
dam	a metric unit of length equal to ten meters
dam	female parent of an animal especially domestic livestock
damaging	(sometimes followed by `to') causing harm or injury; "damaging to career and reputation"; "the reporter's coverage resulted in prejudicial publicity for the defendant"
damaging	designed or tending to discredit, especially without positive or helpful suggestions; "negative criticism"
dare	take upon oneself; act presumptuously, without permission; "How dare you call my lawyer?"
dare	to be courageous enough to try or do something; "I don't dare call him"; "she dares to dress differently from the others"
dare	challenge; "I dare you!"
darkness	absence of light or illumination
darkness	an unilluminated area; "he moved off into the darkness"
darkness	absence of moral or spiritual values; "the powers of darkness"
darkness	an unenlightened state; "he was in the dark concerning their intentions"; "his lectures dispelled the darkness"
darkness	having a dark or somber color
darkness	a swarthy complexion
database	an organized body of related information
dawn	the first light of day; "we got up before dawn"; "they talked until morning"
dawn	the earliest period; "the dawn of civilization"; "the morning of the world"
dawn	an opening time period; "it was the dawn of the Roman Empire"
deadline	the point in time at which something must be completed
deadly	causing or capable of causing death; "a fatal accident"; "a deadly enemy"; "mortal combat"; "a mortal illness"
deadly	of an instrument of certain death; "deadly poisons"; "lethal weapon"; "a lethal injection"
deadly	extremely poisonous or injurious; producing venom; "venomous snakes"; "a virulent insect bite"
deadly	involving loss of divine grace or spiritual death; "the seven deadly sins"
deadly	exceedingly harmful
deadly	(of a disease) having a rapid course and violent effect
dealer	someone who purchases and maintains an inventory of goods to be sold
dealer	a firm engaged in trading
dealer	a seller of illicit goods; "a dealer in stolen goods"
dealer	the major party to a financial transaction at a stock exchange; buys and sells for his own account
dealer	the person who distributes the playing cards in a card game
debris	the remains of something that has been destroyed or broken up
debut	the act of beginning something new; "they looked forward to the debut of their new product line"
debut	the presentation of a debutante in society
decision	the act of making up your mind about something; "the burden of decision was his"; "he drew his conclusions quickly"
decision	a position or opinion or judgment reached after consideration; "a decision unfavorable to the opposition"; "his conclusion took the evidence into account"; "satisfied with the panel's determination"
decision	(boxing) a victory won on points when no knockout has occurred; "had little trouble in taking a unanimous decision over his opponent"
decision	the outcome of a game or contest; "the team dropped three decisions in a row"
decision	the trait of resoluteness as evidenced by firmness of character or purpose; "a man of unusual decisiveness"
decisive	determining or having the power to determine an outcome; "cast the decisive vote"; "two factors had a decisive influence"
decisive	unmistakable; "had a decisive lead in the polls"
decisive	characterized by decision and firmness; "an able and decisive young woman"; "we needed decisive leadership"; "she gave him a decisive answer"
decisive	forming or having the nature of a turning point or crisis; "a critical point in the campaign"; "the critical test"
deck	any of various platforms built into a vessel
deck	street name for a packet of illegal drugs
deck	a pack of 52 playing cards
deck	a porch that resembles the deck on a ship
declaration	a statement that is emphatic and explicit (spoken or written)
declaration	(law) unsworn statement that can be admitted in evidence in a legal transaction; "his declaration of innocence"
declaration	a statement of taxable goods or of dutiable properties
declaration	(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
declaration	a formal public statement; "the government made an announcement about changes in the drug war"; "a declaration of independence"
declaration	a formal expression by a meeting; agreed to by a vote
dedicated	devoted to a cause or ideal or purpose; "a dedicated dancer"; "dedicated teachers"; "dedicated to the proposition that all men are created equal"- A.Lincoln
dedicated	solemnly dedicated to or set apart for a high or sacred purpose; "a life consecrated to science"; "the consecrated chapel"; "a chapel dedicated to the dead of World War II"
dedication	complete and wholehearted fidelity
dedication	a ceremony in which something (as a building) is dedicated to some goal or purpose
dedication	a message that makes a pledge
dedication	a short message (as in a book or musical work or on a photograph) dedicating it to someone or something
dedication	the act of binding yourself (intellectually or emotionally) to a course of action; "his long commitment to public service"; "they felt no loyalty to a losing team"
deed	a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it; "he signed the deed"; "he kept the title to his car in the glove compartment"
deed	something that people do or cause to happen
deem	keep in mind or convey as a conviction or view; "take for granted"; "view as important"; "hold these truths to be self-evident"; "I hold him personally responsible"
default	loss due to not showing up; "he lost the game by default"
default	act of failing to meet a financial obligation
default	loss resulting from failure of a debt to be paid
default	an option that is selected automatically unless an alternative is specified
defect	an imperfection in a bodily system; "visual defects"; "this device permits detection of defects in the lungs"
defect	a failing or deficiency; "that interpretation is an unfortunate defect of our lack of information"
defect	an imperfection in an object or machine; "a flaw caused the crystal to shatter"; "if there are any defects you should send it back to the manufacturer"
defect	a mark or flaw that spoils the appearance of something (especially on a person's body); "a facial blemish"
defender	a person who cares for persons or property
defender	a fighter who holds out against attack
defensive	an attitude of defensiveness (especially in the phrase `on the defensive')
deficiency	the state of needing something that is absent or unavailable; "there is a serious lack of insight into the problem"; "water is the critical deficiency in desert regions"; "for want of a nail the shoe was lost"
deficiency	lack of an adequate quantity or number; "the inadequacy of unemployment benefits"
deficit	the property of being an amount by which something is less than expected or required; "new blood vessels bud out from the already dilated vascular bed to make up the nutritional deficit"
deficit	a deficiency or failure in neurological or mental functioning; "the people concerned have a deficit in verbal memory"; "they have serious linguistic deficits"
deficit	(sports) the score by which a team or individual is losing
deficit	an excess of liabilities over assets (usually over a certain period); "last year there was a serious budgetary deficit"
defy	resist or confront with resistance; "The politician defied public opinion"; "The new material withstands even the greatest wear and tear"; "The bridge held"
defy	elude, especially in a baffling way; "This behavior defies explanation"
defy	challenge; "I dare you!"
delegate	a person appointed or elected to represent others
delegation	a group of representatives or delegates
delegation	authorizing subordinates to make certain decisions
delete	remove or make invisible; "Please delete my name from your list"
delete	wipe out digitally or magnetically recorded information; "Who erased the files from my hard disk?"
delete	cut or eliminate; "she edited the juiciest scenes"
delicate	exquisitely fine and subtle and pleasing; susceptible to injury; "a delicate violin passage"; "delicate china"; "a delicate flavor"; "the delicate wing of a butterfly"
delicate	marked by great skill especially in meticulous technique; "a surgeon's delicate touch"
delicate	easily broken or damaged or destroyed; "a kite too delicate to fly safely"; "fragile porcelain plates"; "fragile old bones"; "a frail craft"
delicate	easily hurt; "soft hands"; "a baby's delicate skin"
delicate	developed with extreme delicacy and subtlety; "the satire touches with finespun ridicule every kind of human pretense"
delicate	difficult to handle; requiring great tact; "delicate negotiations with the big powers"; "hesitates to be explicit on so ticklish a matter"; "a touchy subject"
delicate	of an instrument or device; capable of registering minute differences or changes precisely; "almost undetectable with even the most delicate instruments"
democracy	the political orientation of those who favor government by the people or by their elected representatives
democracy	a political system in which the supreme power lies in a body of citizens who can elect people to represent them
democracy	the doctrine that the numerical majority of an organized group can make decisions binding on the whole group
democratic	characterized by or advocating or based upon the principles of democracy or social equality; "democratic government"; "a democratic country"; "a democratic scorn for bloated dukes and lords"- George du Maurier
Democratic	belong to or relating to the Democratic Party; "Democratic senator"
democratic	representing or appealing to or adapted for the benefit of the people at large; "democratic art forms"; "a democratic or popular movement"; "popular thought"; "popular science"; "popular fiction"
demon	an evil supernatural being
demon	a cruel wicked and inhuman person
demon	someone extremely diligent or skillful; "he worked like a demon to finish the job on time"; "she's a demon at math"
demonstration	a show or display; the act of presenting something to sight or view; "the presentation of new data"; "he gave the customer a demonstration"
demonstration	a show of military force or preparedness; "he confused the enemy with feints and demonstrations"
demonstration	a public display of group feelings (usually of a political nature); "there were violent demonstrations against the war"
demonstration	proof by a process of argument or a series of proposition proving an asserted conclusion
demonstration	a visual presentation showing how something works; "the lecture was accompanied by dramatic demonstrations"; "the lecturer shot off a pistol as a demonstration of the startle response"
denial	the act of refusing to comply (as with a request); "it resulted in a complete denial of his privileges"
denial	the act of asserting that something alleged is not true
denial	(psychiatry) a defense mechanism that denies painful thoughts
denial	renunciation of your own interests in favor of the interests of others
denial	a defendant's answer or plea denying the truth of the charges against him; "he gave evidence for the defense"
denounce	speak out against; "He denounced the Nazis"
denounce	to accuse or condemn or openly or formally or brand as disgraceful; "He denounced the government action"; "She was stigmatized by society because she had a child out of wedlock"
denounce	announce the termination of, as of treaties
denounce	give away information about somebody; "He told on his classmate who had cheated on the exam"
dense	permitting little if any light to pass through because of denseness of matter; "dense smoke"; "heavy fog"; "impenetrable gloom"
dense	hard to pass through because of dense growth; "dense vegetation"; "thick woods"
dense	having high relative density or specific gravity; "dense as lead"
dense	slow to learn or understand; lacking intellectual acuity; "so dense he never understands anything I say to him"; "never met anyone quite so dim"; "although dull at classical learning, at mathematics he was uncommonly quick"- Thackeray; "dumb officials make some really dumb decisions"; "he was either normally stupid or being deliberately obtuse"; "worked with the slow students"
density	the amount per unit size
density	the spatial property of being crowded together
depart	move away from a place into another direction; "Go away before I start to cry"; "The train departs at noon"
depart	be at variance with; be out of line with
depart	leave; "The family took off for Florida"
depart	go away or leave
depart	remove oneself from an association with or participation in; "She wants to leave"; "The teenager left home"; "She left her position with the Red Cross"; "He left the Senate after two terms"; "after 20 years with the same company, she pulled up stakes"
depart	wander from a direct or straight course
dependence	the state of relying on or being controlled by someone or something else
dependence	being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
dependent	relying on or requiring a person or thing for support, supply, or what is needed; "dependent children"; "dependent on moisture"
dependent	contingent on something else
dependent	(of a clause) unable to stand alone syntactically as a complete sentence; "a subordinate (or dependent) clause functions as a noun or adjective or adverb within a sentence"
dependent	held from above and hanging down; "a pendant bunch of grapes"
dependent	being under the power or sovereignty of another or others; "subject peoples"; "a dependent prince"
dependent	addicted to a drug
depict	show in, or as in, a picture; "This scene depicts country life"; "the face of the child is rendered with much tenderness in this painting"
depict	give a description of; "He drew an elaborate plan of attack"
depict	make a portrait of; "Goya wanted to portray his mistress, the Duchess of Alba"
deploy	place troops or weapons in battle formation
deploy	to distribute systematically or strategically; "The U.S. deploys its weapons in the Middle East"
deployment	the distribution of forces in preparation for battle or work
deposit	the phenomenon of sediment or gravel accumulating
deposit	matter that has been deposited by some natural process
deposit	the natural process of laying down a deposit of something
deposit	money deposited in a bank or some similar institution
deposit	a partial payment made at the time of purchase; the balance to be paid later
deposit	money given as security for an article acquired for temporary use; "his deposit was refunded when he returned the car"
deposit	a payment given as a guarantee that an obligation will be met
deposit	a facility where things can be deposited for storage or safekeeping
deposit	the act of putting something somewhere
depression	a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
depression	a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
depression	a sunken or depressed geological formation
depression	sad feelings of gloom and inadequacy
Depression	a period during the 1930s when there was a worldwide economic depression and mass unemployment
depression	an air mass of lower pressure; often brings precipitation; "a low moved in over night bringing sleet and snow"
depression	a state of depression and anhedonia so severe as to require clinical intervention
depression	a concavity in a surface produced by pressing; "he left the impression of his fingers in the soft mud"
depression	angular distance below the horizon (especially of a celestial object)
depression	pushing down; "depression of the space bar on the typewriter"
deprive	take away possessions from someone; "The Nazis stripped the Jews of all their assets"
deprive	keep from having, keeping, or obtaining
deprive	take away
deputy	someone authorized to exercise the powers of sheriff in emergencies
deputy	an assistant with power to act when his superior is absent
deputy	a member of the lower chamber of a legislative assembly (such as in France)
deputy	a person appointed to represent or act on behalf of others
derive	reason by deduction; establish by deduction
derive	obtain; "derive pleasure from one's garden"
derive	come from; "The present name derives from an older form"
derive	develop or evolve from a latent or potential state
derive	come from; be connected by a relationship of blood, for example; "She was descended from an old Italian noble family"; "he comes from humble origins"
descend	move downward and lower, but not necessarily all the way; "The temperature is going down"; "The barometer is falling"; "The curtain fell on the diva"; "Her hand went up and then fell again"
descend	come from; be connected by a relationship of blood, for example; "She was descended from an old Italian noble family"; "he comes from humble origins"
descend	do something that one considers to be below one's dignity
descend	come as if by falling; "Night fell"; "Silence fell"
descent	a movement downward
descent	properties attributable to your ancestry; "he comes from good origins"
descent	the act of changing your location in a downward direction
descent	the kinship relation between an individual and the individual's progenitors
descent	a downward slope or bend
descent	the descendants of one individual; "his entire lineage has been warriors"
designate	assign a name or title to
designate	give an assignment to (a person) to a post, or assign a task to (a person)
designate	indicate a place, direction, person, or thing; either spatially or figuratively; "I showed the customer the glove section"; "He pointed to the empty parking space"; "he indicated his opponents"
designate	decree or designate beforehand; "She was destined to become a great pianist"
designate	design or destine; "She was intended to become the director"
desirable	worth having or seeking or achieving; "a desirable job"; "computer with many desirable features"; "a desirable outcome"
desirable	worthy of being chosen especially as a spouse; "the parents found the girl suitable for their son"
desktop	the top of a desk
desktop	(computer science) the area of the screen in graphical user interfaces against which icons and windows appear
desperately	with great urgency; "health care reform is needed urgently"; "the soil desperately needed potash"
desperately	in intense despair; "the child clung desperately to her mother"
destruction	the termination of something by causing so much damage to it that it cannot be repaired or no longer exists
destruction	an event (or the result of an event) that completely destroys something
destruction	a final state; "he came to a bad end"; "the so-called glorious experiment came to an inglorious end"
destructive	causing destruction or much damage; "a policy that is destructive to the economy"; "destructive criticism"
detain	deprive of freedom; take into confinement
detain	stop or halt; "Please stay the bloodshed!"
detain	cause to be slowed down or delayed; "Traffic was delayed by the bad weather"; "she delayed the work that she didn't want to perform"
detection	the perception that something has occurred or some state exists; "early detection can often lead to a cure"
detection	the act of detecting something; catching sight of something
detection	the detection that a signal is being received
detection	a police investigation to determine the perpetrator; "detection is hard on the feet"
detention	a state of being confined (usually for a short time); "his detention was politically motivated"; "the prisoner is on hold"; "he is in the custody of police"
detention	a punishment in which a student must stay at school after others have gone home; "the detention of tardy pupils"
deteriorate	become worse or disintegrate; "His mind deteriorated"
deteriorate	grow worse; "Her condition deteriorated"; "Conditions in the slums degenerated"; "The discussion devolved into a shouting match"
determination	the act of determining the properties of something, usually by research or calculation; "the determination of molecular structures"
determination	the quality of being determined to do or achieve something; firmness of purpose; "his determination showed in his every movement"; "he is a man of purpose"
determination	a position or opinion or judgment reached after consideration; "a decision unfavorable to the opposition"; "his conclusion took the evidence into account"; "satisfied with the panel's determination"
determination	deciding or controlling something's outcome or nature; "the determination of grammatical inflections"
determination	the act of making up your mind about something; "the burden of decision was his"; "he drew his conclusions quickly"
devastate	cause extensive destruction or ruin utterly; "The enemy lay waste to the countryside after the invasion"
devastate	overwhelm or overpower; "He was devastated by his grief when his son died"
Devil	(Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell
devil	an evil supernatural being
devil	a word used in exclamations of confusion; "what the devil"; "the deuce with it"; "the dickens you say"
devil	a rowdy or mischievous person (usually a young man); "he chased the young hellions out of his yard"
devil	a cruel wicked and inhuman person
devise	come up with (an idea, plan, explanation, theory, or principle) after a mental effort; "excogitate a way to measure the speed of light"
devise	arrange by systematic planning and united effort; "machinate a plot"; "organize a strike"; "devise a plan to take over the director's office"
devise	give by will, especially real property
devote	give entirely to a specific person, activity, or cause; "She committed herself to the work of God"; "give one's talents to a good cause"; "consecrate your life to the church"
devote	dedicate; "give thought to"; "give priority to"; "pay attention to"
devote	set aside or apart for a specific purpose or use; "this land was devoted to mining"
diagnose	determine or distinguish the nature of a problem or an illness through a diagnostic analysis
diagnose	subject to a medical analysis
diagnosis	identifying the nature or cause of some phenomenon
dictate	issue commands or orders for
dictate	say out loud for the purpose of recording; "He dictated a report to his secretary"
dictate	rule as a dictator
dictator	a speaker who dictates to a secretary or a recording machine
dictator	a ruler who is unconstrained by law
dictator	a person who behaves in a tyrannical manner; "my boss is a dictator who makes everyone work overtime"
differ	be different; "These two tests differ in only one respect"
differ	be of different opinions; "I beg to differ!"; "She disagrees with her husband on many questions"
differentiate	mark as different; "We distinguish several kinds of maple"
differentiate	be a distinctive feature, attribute, or trait; sometimes in a very positive sense; "His modesty distinguishes him from his peers"
differentiate	calculate a derivative; take the derivative
differentiate	become different during development; "cells differentiate"
differentiate	evolve so as to lead to a new species or develop in a way most suited to the environment
differentiate	become distinct and acquire a different character
dignity	the quality of being worthy of esteem or respect; "it was beneath his dignity to cheat"; "showed his true dignity when under pressure"
dignity	formality in bearing and appearance; "he behaved with great dignity"
dignity	high office or rank or station; "he respected the dignity of the emissaries"
dilemma	state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
dimension	the magnitude of something in a particular direction (especially length or width or height)
dimension	a construct whereby objects or individuals can be distinguished; "self-confidence is not an endearing property"
dimension	one of three Cartesian coordinates that determine a position in space
dimension	magnitude or extent; "a building of vast proportions"
diminish	decrease in size, extent, or range; "The amount of homework decreased towards the end of the semester"; "The cabin pressure fell dramatically"; "her weight fell to under a hundred pounds"; "his voice fell to a whisper"
diminish	lessen the authority, dignity, or reputation of; "don't belittle your colleagues"
dip	a depression in an otherwise level surface; "there was a dip in the road"
dip	(physics) the angle that a magnetic needle makes with the plane of the horizon
dip	a thief who steals from the pockets or purses of others in public places
dip	tasty mixture or liquid into which bite-sized foods are dipped
dip	a brief immersion
dip	a sudden sharp decrease in some quantity; "a drop of 57 points on the Dow Jones index"; "there was a drop in pressure in the pulmonary artery"; "a dip in prices"; "when that became known the price of their stock went into free fall"
dip	a candle that is made by repeated dipping in a pool of wax or tallow
dip	a brief swim in water
dip	a gymnastic exercise on the parallel bars in which the body is lowered and raised by bending and straightening the arms
diplomat	an official engaged in international negotiations
diplomat	a person who deals tactfully with others
diplomatic	relating to or characteristic of diplomacy; "diplomatic immunity"
diplomatic	using or marked by tact in dealing with sensitive matters or people; "the hostess averted a confrontation with a diplomatic chenage of subject"
directory	an alphabetical list of names and addresses
directory	(computer science) a listing of the files stored in memory (usually on a hard disk)
disability	the condition of being unable to perform as a consequence of physical or mental unfitness; "reading disability"; "hearing impairment"
disabled	having restricted mental or physical functioning as a consequence of injury or illness
disagreement	a conflict of people's opinions or actions or characters
disagreement	a difference between conflicting facts or claims or opinions; "a growing divergence of opinion"
disagreement	the speech act of disagreeing or arguing or disputing
disappoint	fail to meet the hopes or expectations of; "Her boyfriend let her down when he did not propose marriage"
disappointment	a feeling of dissatisfaction that results when your expectations are not realized; "his hopes were so high he was doomed to disappointment"
disappointment	an act (or failure to act) that disappoints someone
disastrous	(of events) having extremely unfortunate or dire consequences; bringing ruin; "the stock market crashed on Black Friday"; "a calamitous defeat"; "the battle was a disastrous end to a disastrous campaign"; "such doctrines, if true, would be absolutely fatal to my theory"- Charles Darwin; "it is fatal to enter any war without the will to win it"- Douglas MacArthur; "a fateful error"
discard	throw or cast away; "Put away your worries"
discharge	the sudden giving off of energy
discharge	the act of venting
discharge	a substance that is emitted or released
discharge	any of several bodily processes by which substances go out of the body; "the discharge of pus"
discharge	electrical conduction through a gas in an applied electric field
discharge	the pouring forth of a fluid
discharge	the termination of someone's employment (leaving them free to depart)
discharge	a formal written statement of relinquishment
discharge	the act of discharging a gun
disclose	make known to the public information that was previously known only to a few people or that was meant to be kept a secret; "The auction house would not disclose the price at which the van Gogh had sold"; "The actress won't reveal how old she is"; "bring out the truth"; "he broke the news to her"; "unwrap the evidence in the murder case"; "The newspaper uncovered the President's illegal dealings"
disclose	reveal to view as by removing a cover; "The curtain rose to disclose a stunning set"
disclosure	the speech act of making something evident
discourage	try to prevent; show opposition to; "We should discourage this practice among our youth"
discourage	deprive of courage or hope; take away hope from; cause to feel discouraged
discourage	advise or counsel in terms of someone's behavior; "I warned him not to go too far"; "I warn you against false assumptions"; "She warned him to be quiet"
discourse	extended verbal expression in speech or writing
discourse	an address of a religious nature (usually delivered during a church service)
discourse	an extended communication (often interactive) dealing with some particular topic; "the book contains an excellent discussion of modal logic"; "his treatment of the race question is badly biased"
discretion	freedom to act or judge on one's own
discretion	knowing how to avoid embarrassment or distress; "the servants showed great tact and discretion"
discretion	refined taste; tact
discretion	the power of making free choices unconstrained by external agencies
discretion	the trait of judging wisely and objectively; "a man of discernment"
discrimination	unfair treatment of a person or group on the basis of prejudice
discrimination	the cognitive process whereby two or more stimuli are distinguished
dismissal	a judgment disposing of the matter without a trial
dismissal	official notice that you have been fired from your job
dismissal	permission to go; the sending away of someone
dismissal	the termination of someone's employment (leaving them free to depart)
disorder	a physical condition in which there is a disturbance of normal functioning; "the doctor prescribed some medicine for the disorder"; "everyone gets stomach upsets from time to time"
disorder	a condition in which things are not in their expected places; "the files are in complete disorder"
disorder	a disturbance of the peace or of public order
displace	cause to move, usually with force or pressure; "the refugees were displaced by the war"
displace	take the place of or have precedence over; "live broadcast of the presidential debate preempts the regular news hour"; "discussion of the emergency situation will preempt the lecture by the professor"
displace	terminate the employment of; discharge from an office or position; "The boss fired his secretary today"; "The company terminated 25% of its workers"
displace	cause to move or shift into a new position or place, both in a concrete and in an abstract sense; "Move those boxes into the corner, please"; "I'm moving my money to another bank"; "The director moved more responsibilities onto his new assistant"
disposal	the power to use something or someone; "used all the resources at his disposal"
disposal	a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
disposal	the act or means of getting rid of something
disposal	a kitchen appliance for disposing of garbage
dispose	give, sell, or transfer to another; "She disposed of her parents' possessions"
dispose	throw or cast away; "Put away your worries"
dispose	make receptive or willing towards an action or attitude or belief; "Their language inclines us to believe them"
dispose	place or put in a particular order; "the dots are unevenly disposed"
dispose	make fit or prepared; "Your education qualifies you for this job"
dispute	a disagreement or argument about something important; "he had a dispute with his wife"; "there were irreconcilable differences"; "the familiar conflict between Republicans and Democrats"
dispute	coming into conflict with
disrupt	make a break in; "We interrupt the program for the following messages"
disrupt	throw into disorder; "This event disrupted the orderly process"
disrupt	interfere in someone else's activity; "Please don't interrupt me while I'm on the phone"
disruption	an act of delaying or interrupting the continuity; "it was presented without commercial breaks"; "there was a gap in his account"
disruption	a disorderly outburst or tumult; "they were amazed by the furious disturbance they had caused"
disruption	an event that results in a displacement or discontinuity
disruption	the act of causing disorder
dissolve	become weaker; "The sound faded out"
dissolve	cause to go into a solution; "The recipe says that we should dissolve a cup of sugar in two cups of water"
dissolve	come to an end; "Their marriage dissolved"; "The tobacco monopoly broke up"
dissolve	stop functioning or cohering as a unit; "The political wing of the party dissolved after much internal fighting"
dissolve	cause to lose control emotionally; "The news dissolved her into tears"
dissolve	lose control emotionally; "She dissolved into tears when she heard that she had lost all her savings in the pyramid scheme"
dissolve	cause to fade away; "dissolve a shot or a picture"
dissolve	pass into a solution; "The sugar quickly dissolved in the coffee"
dissolve	become or cause to become soft or liquid; "The sun melted the ice"; "the ice thawed"; "the ice cream melted"; "The heat melted the wax"; "The giant iceberg dissolved over the years during the global warming phase"; "dethaw the meat"
dissolve	bring the association of to an end or cause to break up; "The decree officially dissolved the marriage"; "the judge dissolved the tobacco company"
dissolve	declare void; "The President dissolved the parliament and called for new elections"
